Depth,Magnitude,INTENSITY,CONTINENT,YEAR.Cat
9.3,6.2,7,2,2016
9.3,6.2,7,2,2016
9.3,6.2,7,2,2016
13.8,5.8,7,2,2016
13.8,5.8,7,2,2016
13.8,5.8,7,2,2016
36.1,5.7,5,2,2016
36.1,5.7,9,2,2016
36.1,5.7,9,2,2016
35,5.5,8,2,2016
35,5.5,6,2,2016
35,5.5,4,2,2016
16,6.6,6,2,2016
16,6.6,7,2,2016
16,6.6,8,2,2016
15.1,5.5,8,2,2016
15.1,5.5,5,2,2016
15.1,5.5,6,2,2016
10,6.2,8,2,2016
10,6.2,7,2,2016
10,6.2,7,2,2016
28.2,5.7,9,2,2016
28.2,5.7,6,2,2016
28.2,5.7,6,2,2016
10,5.7,10,2,2016
10,5.7,9,2,2016
10,5.7,6,2,2016
49.2,6,9,2,2016
49.2,6,6,2,2016
49.2,6,6,2,2016
19.1,5.6,9,2,2016
19.1,5.6,7,2,2016
19.1,5.6,6,2,2016
48.9,5.7,8,2,2016
48.9,5.7,6,2,2016
48.9,5.7,6,2,2016
20.7,5.5,8,2,2016
20.7,5.5,6,2,2016
20.7,5.5,9,2,2016
41,6.1,7,2,2016
41,6.1,5,2,2016
41,6.1,7,2,2016
25.7,6.6,6,2,2016
25.7,6.6,5,2,2016
25.7,6.6,8,2,2016
45.4,6.3,8,2,2016
45.4,6.3,6,2,2016
45.4,6.3,8,2,2016
1.7,5.5,7,2,2016
1.7,5.5,6,2,2016
1.7,5.5,6,2,2016
35,5.7,7,2,2016
35,5.7,6,2,2016
35,5.7,4,2,2016
25.4,6.2,9,2,2016
25.4,6.2,8,2,2016
25.4,6.2,5,2,2016
15.4,5.7,6,2,2016
15.4,5.7,7,2,2016
15.4,5.7,8,2,2016
17.7,5.8,7,2,2016
17.7,5.8,7,2,2016
17.7,5.8,8,2,2016
23.7,5.8,8,2,2016
23.7,5.8,7,2,2016
23.7,5.8,10,2,2016
27.1,6,6,2,2016
27.1,6,5,2,2016
27.1,6,8,2,2016
25.8,5.6,8,2,2016
25.8,5.6,7,2,2016
25.8,5.6,5,2,2016
39.5,5.8,7,2,2016
39.5,5.8,7,2,2016
39.5,5.8,5,2,2016
19.3,5.9,8,2,2016
19.3,5.9,6,2,2016
19.3,5.9,8,2,2016
35,6.3,6,2,2016
35,6.3,8,2,2016
35,6.3,7,2,2016
19.6,5.9,6,2,2016
19.6,5.9,7,2,2016
19.6,5.9,3,2,2016
35,5.7,7,2,2016
35,5.7,7,2,2016
35,5.7,7,2,2016
28.4,6.1,7,2,2016
28.4,6.1,7,2,2016
28.4,6.1,6,2,2016
23.1,5.5,8,2,2016
23.1,5.5,7,2,2016
23.1,5.5,8,2,2016
35,5.6,7,2,2016
35,5.6,8,2,2016
35,5.6,9,2,2016
25.9,5.5,8,2,2016
25.9,5.5,8,2,2016
25.9,5.5,8,2,2016
29,9.1,5,2,2016
29,9.1,8,2,2016
29,9.1,9,2,2016
10,5.7,8,2,2016
10,5.7,8,2,2016
10,5.7,10,2,2016
39.6,6.2,9,2,2016
39.6,6.2,7,2,2016
39.6,6.2,8,2,2016
19.5,5.6,8,2,2016
19.5,5.6,9,2,2016
19.5,5.6,5,2,2016
40.6,6.1,8,2,2016
40.6,6.1,5,2,2016
40.6,6.1,8,2,2016
15.6,5.7,8,2,2016
15.6,5.7,8,2,2016
15.6,5.7,10,2,2016
57.7,5.6,6,2,2016
57.7,5.6,9,2,2016
57.7,5.6,6,2,2016
35,5.7,9,2,2016
35,5.7,6,2,2016
35,5.7,8,2,2016
10.3,5.8,7,2,2016
10.3,5.8,7,2,2016
10.3,5.8,4,2,2016
35,5.8,6,2,2016
35,5.8,6,2,2016
35,5.8,9,2,2016
17.4,6.1,8,2,2016
17.4,6.1,7,2,2016
17.4,6.1,8,2,2016
38.5,5.8,5,2,2016
38.5,5.8,7,2,2016
38.5,5.8,7,2,2016
24.7,6.3,7,2,2016
24.7,6.3,8,2,2016
24.7,6.3,6,2,2016
40.1,6.2,10,2,2016
40.1,6.2,7,2,2016
40.1,6.2,7,2,2016
0.7,5.7,8,2,2016
0.7,5.7,5,2,2016
0.7,5.7,7,2,2016
26.6,5.9,7,2,2016
26.6,5.9,5,2,2016
26.6,5.9,10,2,2016
35.9,6.3,6,2,2016
35.9,6.3,8,2,2016
35.9,6.3,8,2,2016
39.5,5.9,8,2,2016
39.5,5.9,5,2,2016
39.5,5.9,5,2,2016
35,5.8,8,2,2016
35,5.8,9,2,2016
35,5.8,8,2,2016
39.8,5.9,8,2,2016
39.8,5.9,8,2,2016
39.8,5.9,6,2,2016
56.3,6.2,6,2,2016
56.3,6.2,6,2,2016
56.3,6.2,7,2,2016
6.3,5.8,7,2,2016
6.3,5.8,7,2,2016
6.3,5.8,6,2,2016
35,5.7,4,2,2016
35,5.7,8,2,2016
35,5.7,8,2,2016
40.1,5.5,8,2,2016
40.1,5.5,4,2,2016
40.1,5.5,8,2,2016
42.8,6,7,2,2016
42.8,6,7,2,2016
42.8,6,7,2,2016
35,5.6,6,2,2016
35,5.6,6,2,2016
35,5.6,9,2,2016
22.6,5.9,8,2,2016
22.6,5.9,8,2,2016
22.6,5.9,7,2,2016
2.8,6.7,9,2,2016
2.8,6.7,8,2,2016
2.8,6.7,6,2,2016
51.3,5.5,7,2,2016
51.3,5.5,9,2,2016
51.3,5.5,5,2,2016
25.3,5.7,9,2,2016
25.3,5.7,4,2,2016
25.3,5.7,4,2,2016
36.3,5.8,6,2,2016
36.3,5.8,6,2,2016
36.3,5.8,9,2,2016
4.7,5.5,7,2,2016
4.7,5.5,8,2,2016
4.7,5.5,4,2,2016
39.3,5.7,6,2,2016
39.3,5.7,7,2,2016
39.3,5.7,9,2,2016
47.3,6.1,6,2,2016
47.3,6.1,7,2,2016
47.3,6.1,7,2,2016
11.7,6.2,8,2,2016
11.7,6.2,8,2,2016
11.7,6.2,5,2,2016
36.6,5.5,9,2,2016
36.6,5.5,8,2,2016
36.6,5.5,7,2,2016
33.7,5.8,8,2,2016
33.7,5.8,8,2,2016
33.7,5.8,6,2,2016
37.3,6,9,2,2016
37.3,6,7,2,2016
37.3,6,6,2,2016
47.3,5.6,7,2,2016
47.3,5.6,7,2,2016
47.3,5.6,7,2,2016
50.2,5.8,4,2,2016
50.2,5.8,8,2,2016
50.2,5.8,8,2,2016
5.8,5.5,7,2,2016
5.8,5.5,8,2,2016
5.8,5.5,8,2,2016
17,5.5,4,2,2016
17,5.5,7,2,2016
17,5.5,9,2,2016
34.2,5.8,8,2,2016
34.2,5.8,8,2,2016
34.2,5.8,4,2,2016
18.6,7.7,7,2,2016
18.6,7.7,9,2,2016
18.6,7.7,6,2,2016
8.4,5.9,8,2,2016
8.4,5.9,8,2,2016
8.4,5.9,6,2,2016
33.6,5.5,5,2,2016
33.6,5.5,9,2,2016
33.6,5.5,8,2,2016
9.3,5.6,7,2,2016
9.3,5.6,7,2,2016
9.3,5.6,7,2,2016
35,5.5,5,2,2016
35,5.5,6,2,2016
35,5.5,6,2,2016
41.6,5.8,9,2,2016
41.6,5.8,6,2,2016
41.6,5.8,9,2,2016
50.8,5.7,9,2,2016
50.8,5.7,5,2,2016
50.8,5.7,8,2,2016
27.6,6,7,2,2016
27.6,6,7,2,2016
27.6,6,4,2,2016
32.3,6.4,7,2,2016
32.3,6.4,6,2,2016
32.3,6.4,7,2,2016
38,5.6,9,2,2016
38,5.6,8,2,2016
38,5.6,9,2,2016
42.7,6.3,6,2,2016
42.7,6.3,7,2,2016
42.7,6.3,8,2,2016
51.7,6.2,8,2,2016
51.7,6.2,9,2,2016
51.7,6.2,8,2,2016
35,5.6,6,2,2016
35,5.6,7,2,2016
35,5.6,7,2,2016
41.8,5.6,7,2,2016
41.8,5.6,6,2,2016
41.8,5.6,9,2,2016
35,5.7,7,2,2016
35,5.7,8,2,2016
35,5.7,9,2,2016
6.8,6.5,9,2,2016
6.8,6.5,10,2,2016
6.8,6.5,8,2,2016
50.7,6.3,6,2,2016
50.7,6.3,7,2,2016
50.7,6.3,8,2,2016
17,6.1,8,2,2016
17,6.1,8,2,2016
17,6.1,8,2,2016
40.6,6.2,9,2,2016
40.6,6.2,6,2,2016
40.6,6.2,8,2,2016
35,5.5,8,2,2016
35,5.5,6,2,2016
35,5.5,10,2,2016
39.2,5.5,7,2,2016
39.2,5.5,4,2,2016
39.2,5.5,9,2,2016
35,5.9,6,2,2016
35,5.9,3,2,2016
35,5.9,6,2,2016
26.5,6,6,2,2016
26.5,6,6,2,2016
26.5,6,7,2,2016
35,5.5,6,2,2016
35,5.5,8,2,2016
35,5.5,6,2,2016
52.4,5.6,9,2,2016
52.4,5.6,4,2,2016
52.4,5.6,5,2,2016
25.8,5.5,6,2,2016
25.8,5.5,4,2,2016
25.8,5.5,4,2,2016
44.9,5.8,9,2,2016
44.9,5.8,5,2,2016
44.9,5.8,6,2,2016
30.6,5.9,9,2,2016
30.6,5.9,6,2,2016
30.6,5.9,7,2,2016
46.2,5.5,6,2,2016
46.2,5.5,6,2,2016
46.2,5.5,8,2,2016
35,5.5,7,2,2016
35,5.5,7,2,2016
35,5.5,6,2,2016
52.8,6,7,2,2016
52.8,6,6,2,2016
52.8,6,6,2,2016
47.2,5.8,6,2,2016
47.2,5.8,8,2,2016
47.2,5.8,8,2,2016
8.1,5.7,8,2,2016
8.1,5.7,9,2,2016
8.1,5.7,6,2,2016
49.3,6.5,5,2,2016
49.3,6.5,6,2,2016
49.3,6.5,9,2,2016
47.5,6,8,2,2016
47.5,6,4,2,2016
47.5,6,7,2,2016
21,6.3,5,2,2016
21,6.3,6,2,2016
21,6.3,6,2,2016
19.7,5.6,8,2,2016
19.7,5.6,6,2,2016
19.7,5.6,7,2,2016
33.3,5.6,10,2,2016
33.3,5.6,6,2,2016
33.3,5.6,8,2,2016
35,5.5,8,2,2016
35,5.5,10,2,2016
35,5.5,9,2,2016
14.2,5.5,8,2,2016
10,5.5,7,2,2016
33,5.5,8,2,2000
15,6.2,6,2,2000
18,5.5,7,3,2010
18,5.5,6,3,2010
15,6.2,8,2,2016
10,5.5,7,2,2016
10,5.8,7,2,2016
17.1,5.5,8,2,2016
11,6.6,6,2,2016
20.8,5.5,4,2,2016
20.8,5.5,6,2,2016
20,8.6,5,2,2016
