"","Depth","Magnitude","INTENSITY","CONTINENT","YEAR.Cat"
"250",105,5.8,10,2,"2010"
"251",10,6.3,6,2,"2016"
"252",28,5.6,8,2,"2016"
"253",558.2,5.7,7,2,"2000"
"254",202.8,5.7,7,2,"2000"
"255",33,7.3,7,2,"2000"
"256",10,5.7,6,2,"2010"
"257",10,5.5,7,2,"2010"
"258",116,6.2,8,4,"2016"
"259",555.5,5.7,7,4,"2016"
"260",59,6.5,7,4,"2016"
"261",10,6.7,8,3,"1980"
"262",33,5.5,6,2,"2000"
"263",33,5.6,6,2,"2000"
"264",24,7.9,6,2,"2000"
"265",33,6,6,2,"2000"
"266",33,6.6,6,2,"2000"
"267",33,7.5,8,2,"2010"
"268",33,6.8,7,2,"2010"
"269",44.5,5.8,6,2,"2010"
"270",44.5,5.8,7,4,"2010"
"271",29.4,6.1,6,2,"2010"
"272",29.4,6.1,6,4,"2010"
"273",28.3,5.7,6,2,"2010"
"274",28.3,5.7,8,4,"2010"
"275",10,5.5,6,2,"2010"
"276",10,5.5,7,4,"2010"
"277",6,5.6,7,2,"2010"
"278",35,5.8,6,2,"2010"
"279",34,6.3,6,2,"2010"
"280",430.5,7.2,7,2,"1970"
"281",13.3,6.1,7,2,"1970"
"282",28.7,5.6,9,3,"1990"
"283",62.7,5.7,7,3,"1990"
"284",33,6,6,2,"2000"
"285",33,5.5,9,2,"2000"
"286",10,6,5,2,"2010"
"287",10,5.6,7,1,"2010"
"288",22.7,5.7,7,2,"2010"
"289",32.4,5.7,5,2,"2010"
"290",19,6.3,8,2,"2010"
"291",204,6.3,9,2,"2010"
"292",10,5.5,8,2,"2010"
"293",20,7.2,8,2,"2010"
"294",10,5.7,9,2,"2010"
"295",35,5.5,7,2,"2010"
"296",35,5.5,5,2,"2010"
"297",29.1,5.5,6,2,"2010"
"298",35,5.6,5,2,"2010"
"299",25,5.9,4,2,"2010"
"300",35,6,8,2,"2010"
"301",21.6,5.5,10,2,"2010"
"302",10,5.5,4,2,"2016"
"303",15,5.9,9,5,"2016"
"304",26,6.9,8,5,"2016"
"305",12,6.2,9,5,"2016"
"306",10,5.5,7,5,"2016"
"307",39,6,5,4,"1970"
"308",33,5.5,5,3,"1980"
"309",33,5.6,6,3,"1980"
"310",63,5.7,6,3,"1980"
"311",33,6.4,8,2,"1990"
"312",31.5,6,8,5,"2010"
"313",8,5.6,8,5,"2010"
"314",18,7,8,5,"2010"
"315",35,5.6,8,5,"2010"
"316",307.6,5.6,6,5,"2010"
"317",11,6.9,9,5,"2010"
"318",21.5,5.6,6,2,"2016"
"319",21.5,5.6,6,2,"2016"
"320",21.5,5.6,6,2,"2016"
"321",35,6.4,5,2,"2016"
"322",35,6.4,7,2,"2016"
"323",35,6.4,7,2,"2016"
"324",9.1,5.5,8,2,"2016"
"325",9.1,5.5,9,2,"2016"
"326",9.1,5.5,8,2,"2016"
"327",42.6,7.9,9,2,"2016"
"328",42.6,7.9,6,2,"2016"
"329",42.6,7.9,5,2,"2016"
"330",12.4,5.7,6,2,"2016"
"331",12.4,5.7,9,2,"2016"
"332",12.4,5.7,8,2,"2016"
"333",32.3,6.3,6,2,"2016"
"334",32.3,6.3,4,2,"2016"
"335",32.3,6.3,6,2,"2016"
"336",10.2,5.8,5,2,"2016"
"337",10.2,5.8,7,2,"2016"
"338",10.2,5.8,6,2,"2016"
"339",21.9,5.7,7,2,"2016"
"340",21.9,5.7,6,2,"2016"
"341",21.9,5.7,5,2,"2016"
"342",20,5.9,5,2,"2016"
"343",20,5.9,9,2,"2016"
"344",20,5.9,5,2,"2016"
"345",2.2,5.5,6,2,"2016"
"346",2.2,5.5,8,2,"2016"
"347",2.2,5.5,8,2,"2016"
"348",39.1,5.9,6,2,"2016"
"349",39.1,5.9,4,2,"2016"
"350",39.1,5.9,10,2,"2016"
"351",35,5.9,3,2,"2016"
"352",35,5.9,6,2,"2016"
"353",35,5.9,8,2,"2016"
"354",39.5,6.1,5,2,"2016"
